brand,title,shipping
MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 DUKE 8G OC Video Card,Free Shipping
XFX,XFX Radeon RX 570 DirectX 12 RX-570P8DFD6 Video Card,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2080 Overclocked 8G GDDR6 HDMI DP 1.4 USB Type-C (ROG-STRIX-RTX2080-O8G-GAMING),Free Shipping
Sapphire Tech,"Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate (UEFI), 100411NT+8GL",Free Shipping
ZOTAC,"ZOTAC GAMING GeForce RTX 2060 Twin Fan 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, IceStorm 2.0, ZT-T20600F-10M",Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 DirectX 12 GV-N2060GAMING OC-6GD Video Card,Free Shipping
XFX,XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card,Free Shipping
EVGA,"EVGA GeForce RTX 2080 Ti FTW3 ULTRA GAMING, 11G-P4-2487-KR, 11GB GDDR6, iCX2 & RGB LED",Free Shipping
Sapphire Tech,SAPPHIRE Radeon RX Vega 64 DirectX 12 21275-03-20G Video Card,Free Shipping
ASUS,ASUS ROG STRIX GeForce RTX 2060 DirectX 12 ROG-STRIX-RTX2060-O6G-GAMING Video Card,Free Shipping
PowerColor,PowerColor RED DRAGON Radeon RX Vega 56 DirectX 12 AXRX VEGA 56 8GBHBM2-2D2HD/OC Video Card,Free Shipping
GIGABYTE,"GIGABYTE GeForce RTX 2070 GAMING OC 8G Video Card, GV-N2070GAMING OC-8GC",Free Shipping
